instance_id,source_preset_id,node_type,texture_path,width_tiles,height_tiles,display_name,tile_x,tile_y,max_incoming,max_outgoing,max_outgoing_length
bone_01,bone_dead,,,,,,0,0,,,
bone_02,bone_dead,,,,,,10,8,,,
bone_03,bone_dead,,,,,,20,16,,,
bone_04,bone_dead,,,,,,70,37,,,
bone_05,bone_dead,,,,,,60,29,,,
bone_06,bone_dead,,,,,,50,21,,,
bone_07,bone_dead,,,,,,30,24,,,
bone_08,bone_dead,,,,,,40,13,,,
heart,heart_root,,,,,,43,25,,,
organ_01,organ_follow,,,,,,34,17,,,
organ_02,organ_follow,,,,,,53,33,,,
organ_03,organ_follow,,,,,,63,41,,,
organ_04,organ_follow,,,,,,24,9,,,
brain,brain_end,,,,,,14,1,,,
organ_05,organ_follow,,,,,,43,41,,,
organ_06,organ_follow,,,,,,63,1,,,
organ_07,organ_follow,,,,,,54,13,,,
organ_08,organ_follow,,,,,,39,1,,,
organ_09,organ_follow,,,,,,23,41,,,
organ_10,organ_follow,,,,,,12,26,,,
organ_11,organ_follow,,,,,,1,13,,,
organ_12,organ_follow,,,,,,76,13,,,
