instance_id,source_preset_id,node_type,texture_path,width_tiles,height_tiles,display_name,tile_x,tile_y,max_incoming,max_outgoing,max_outgoing_length
bone_01,bone_dead,,,,,,0,37,,,
bone_02,bone_dead,,,,,,24,37,,,
bone_03,bone_dead,,,,,,45,37,,,
bone_04,bone_dead,,,,,,70,37,,,
bone_05,bone_dead,,,,,,0,0,,,
bone_06,bone_dead,,,,,,24,0,,,
bone_07,bone_dead,,,,,,45,0,,,
bone_08,bone_dead,,,,,,70,0,,,
bone_09,bone_dead,,,,,,0,18,,,
bone_10,bone_dead,,,,,,10,18,,,
bone_11,bone_dead,,,,,,20,18,,,
bone_12,bone_dead,,,,,,30,18,,,
bone_13,bone_dead,,,,,,40,18,,,
bone_14,bone_dead,,,,,,50,18,,,
bone_15,bone_dead,,,,,,60,18,,,
bone_16,bone_dead,,,,,,70,18,,,
heart,heart_root,,,,,,3,31,,,
brain,brain_end,,,,,,61,41,,,
organ_01,organ_follow,,,,,,16,31,,,
organ_02,organ_follow,,,,,,16,2,,,
organ_03,organ_follow,,,,,,38,31,,,
organ_04,organ_follow,,,,,,16,12,,,
organ_05,organ_follow,,,,,,65,12,,,
organ_06,organ_follow,,,,,,33,12,,,
organ_07,organ_follow,,,,,,6,12,,,
