instance_id,source_preset_id,node_type,texture_path,width_tiles,height_tiles,display_name,tile_x,tile_y,max_incoming,max_outgoing,max_outgoing_length
heart,heart_root,,,,,,12,6,,,
bone_01,bone_dead,,,,,,19,12,,,
bone_02,bone_dead,,,,,,39,12,,,
bone_03,bone_dead,,,,,,59,12,,,
bone_04,bone_dead,,,,,,19,28,,,
bone_05,bone_dead,,,,,,39,28,,,
bone_06,bone_dead,,,,,,59,28,,,
brain,brain_end,,,,,,43,22,,,
organ_01,organ_follow,,,,,,12,22,,,
organ_02,organ_follow,,,,,,12,39,,,
organ_03,organ_follow,,,,,,33,6,,,
organ_04,organ_follow,,,,,,53,6,,,
organ_05,organ_follow,,,,,,73,6,,,
organ_06,organ_follow,,,,,,73,22,,,
organ_07,organ_follow,,,,,,73,39,,,
organ_08,organ_follow,,,,,,33,39,,,
organ_09,organ_follow,,,,,,53,39,,,
organ_10,organ_follow,,,,,,53,22,,,
