instance_id,source_preset_id,node_type,texture_path,width_tiles,height_tiles,display_name,tile_x,tile_y,max_incoming,max_outgoing,max_outgoing_length
bone_01,bone_dead,,,,,,0,19,,,
bone_02,bone_dead,,,,,,10,19,,,
bone_03,bone_dead,,,,,,20,19,,,
bone_04,bone_dead,,,,,,30,19,,,
bone_05,bone_dead,,,,,,40,19,,,
bone_06,bone_dead,,,,,,50,19,,,
bone_07,bone_dead,,,,,,60,19,,,
bone_08,bone_dead,,,,,,70,19,,,
bone_09,bone_dead,,,,,,21,0,,,
bone_10,bone_dead,,,,,,21,8,,,
bone_11,bone_dead,,,,,,21,16,,,
bone_12,bone_dead,,,,,,21,27,,,
bone_13,bone_dead,,,,,,21,32,,,
bone_14,bone_dead,,,,,,21,37,,,
bone_15,bone_dead,,,,,,50,0,,,
bone_16,bone_dead,,,,,,50,8,,,
bone_17,bone_dead,,,,,,50,16,,,
heart,heart_root,,,,,,39,7,,,
organ_01,organ_follow,,,,,,72,7,,,
organ_02,organ_follow,,,,,,5,7,,,
organ_03,organ_follow,,,,,,5,36,,,
brain,brain_end,,,,,,72,36,,,
organ_04,organ_follow,,,,,,39,36,,,
organ_05,organ_follow,,,,,,56,36,,,
