instance_id,source_preset_id,node_type,texture_path,width_tiles,height_tiles,display_name,tile_x,tile_y,max_incoming,max_outgoing,max_outgoing_length
bone_01,bone_dead,,,,,,21,9,,,
bone_02,bone_dead,,,,,,21,17,,,
bone_03,bone_dead,,,,,,21,25,,,
bone_04,bone_dead,,,,,,29,17,,,
heart,heart_root,,,,,,48,19,,,
organ_01,organ_follow,,,,,,35,9,,,
organ_02,organ_follow,,,,,,35,30,,,
brain,brain_end,,,,,,24,3,,,
organ_03,organ_follow,,,,,,24,38,,,
organ_04,organ_follow,,,,,,13,30,,,
organ_05,organ_follow,,,,,,13,19,,,
organ_06,organ_follow,,,,,,13,9,,,
organ_07,organ_follow,,,,,,56,9,,,
organ_08,organ_follow,,,,,,48,30,,,
organ_09,organ_follow,,,,,,35,40,,,
organ_10,organ_follow,,,,,,14,39,,,
