instance_id,source_preset_id,node_type,texture_path,width_tiles,height_tiles,display_name,tile_x,tile_y,max_incoming,max_outgoing,max_outgoing_length
bone_01,bone_dead,,,,,,34,17,,,
bone_02,bone_dead,,,,,,24,17,,,
bone_03,bone_dead,,,,,,44,17,,,
bone_04,bone_dead,,,,,,14,17,,,
bone_05,bone_dead,,,,,,54,17,,,
bone_06,bone_dead,,,,,,64,17,,,
bone_07,bone_dead,,,,,,4,17,,,
bone_08,bone_dead,,,,,,0,17,,,
bone_09,bone_dead,,,,,,70,17,,,
heart,heart_root,,,,,,38,34,,,
organ_01,organ_follow,,assets/textures/node/stomach.png,,,胃,22,34,,,
brain,brain_end,,,,,,54,34,,,
organ_02,organ_follow,,assets/textures/node/lung.png,,,肺,38,1,,,
organ_03,organ_follow,,assets/textures/node/kidney.png,,,腎臓,54,12,,,
organ_04,organ_follow,,assets/textures/node/kidney.png,,,腎臓,70,1,,,
organ_05,organ_follow,,assets/textures/node/liver.png,,,肝臓,70,40,,,
organ_06,organ_follow,,assets/textures/node/kidney.png,,,腎臓,22,1,,,
