instance_id,source_preset_id,node_type,texture_path,width_tiles,height_tiles,display_name,tile_x,tile_y,max_incoming,max_outgoing,max_outgoing_length
bone_01,bone_dead,,,,,,23,0,,,
bone_02,bone_dead,,,,,,33,0,,,
bone_03,bone_dead,,,,,,41,37,,,
bone_04,bone_dead,,,,,,51,37,,,
bone_05,bone_dead,,,,,,0,21,,,
bone_06,bone_dead,,,,,,0,29,,,
bone_07,bone_dead,,,,,,70,8,,,
bone_08,bone_dead,,,,,,70,16,,,
bone_09,bone_dead,,,,,,37,16,,,
bone_10,bone_dead,,,,,,37,8,,,
bone_11,bone_dead,,,,,,37,24,,,
bone_12,bone_dead,,,,,,37,29,,,
heart,heart_root,,,,,,21,22,,,
brain,brain_end,,,,,,58,22,,,
organ_01,organ_follow,,assets/textures/node/stomach.png,,,胃,5,5,,,
organ_02,organ_follow,,assets/textures/node/lung.png,,,肺,72,37,,,
organ_03,organ_follow,,assets/textures/node/liver.png,,,肝臓,12,40,,,
organ_04,organ_follow,,assets/textures/node/liver.png,,,肝臓,65,2,,,
