instance_id,source_preset_id,node_type,texture_path,width_tiles,height_tiles,display_name,tile_x,tile_y,max_incoming,max_outgoing,max_outgoing_length
bone_01,bone_dead,,,,,,35,0,,,
bone_02,bone_dead,,,,,,35,8,,,
bone_03,bone_dead,,,,,,35,16,,,
bone_04,bone_dead,,,,,,35,24,,,
bone_05,bone_dead,,,,,,35,32,,,
bone_06,bone_dead,,,,,,35,37,,,
bone_07,bone_dead,,,,,,26,19,,,
bone_08,bone_dead,,,,,,16,19,,,
bone_09,bone_dead,,,,,,6,19,,,
bone_10,bone_dead,,,,,,0,19,,,
bone_11,bone_dead,,,,,,44,19,,,
bone_12,bone_dead,,,,,,54,19,,,
bone_13,bone_dead,,,,,,64,19,,,
bone_14,bone_dead,,,,,,70,19,,,
organ_01,organ_follow,,,,,,11,38,,,
organ_02,organ_follow,,,,,,67,38,,,
heart,heart_root,,,,,,11,5,,,
brain,brain_end,,,,,,67,4,,,
