instance_id,source_preset_id,node_type,texture_path,width_tiles,height_tiles,display_name,tile_x,tile_y,max_incoming,max_outgoing,max_outgoing_length
heart,heart_root,,,,,,71,3,,,
bone_01,bone_dead,,,,,,47,36,,,
bone_02,bone_dead,,,,,,59,0,,,
bone_03,bone_block,,,,,,59,10,,,
bone_04,bone_dead,,,,,,59,30,,,
bone_05,bone_dead,,,,,,59,20,,,
brain,brain_end,,,,,,72,39,,,
bone_06,bone_block,,,,,,0,19,,,
bone_07,bone_block,,,,,,10,19,,,
organ_01,organ_follow,,assets/textures/node/lung.png,,,肺,2,7,,,
organ_02,organ_follow,,assets/textures/node/stomach.png,,,胃,30,23,,,
organ_03,organ_follow,,assets/textures/node/kidney.png,,,腎臓,2,40,,,
bone_08,bone_block,,,,,,59,35,,,
bone_09,bone_wall_horizontal,,,,,,60,22,,,
